"Time","Category","Note","Income.Expense","Amount","Currency","X","X.1","Date"
"1/26/2022 16:52","Food","Paani poori","Expense",0.3,"USD",NA,NA,2022-01-26
"1/25/2022 13:35","Food","Kfc date with myself","Expense",3.108,"USD",NA,NA,2022-01-25
"1/25/2022 10:23","Food","Lemon tea","Expense",0.216,"USD",NA,NA,2022-01-25
"1/25/2022 9:20","Transportation","Train to vnr","Expense",3.9,"USD",NA,NA,2022-01-25
"1/24/2022 20:17","Food","Snack","Expense",0.48,"USD",NA,NA,2022-01-24
"1/24/2022 14:08","Food","Lunch with company","Expense",1.596,"USD",NA,NA,2022-01-24
"1/23/2022 21:45","Food","Pepsi","Expense",0.48,"USD",NA,NA,2022-01-23
"1/23/2022 21:41","Food","Dinner","Expense",5.58,"USD",NA,NA,2022-01-23
"1/23/2022 21:29","Food","Sent to vicky","Expense",3.6,"USD",NA,NA,2022-01-23
"1/23/2022 21:29","Food","Lunch","Expense",3.624,"USD",NA,NA,2022-01-23
"1/23/2022 21:27","Food","Snacks with preethi and azar","Expense",2.112,"USD",NA,NA,2022-01-23
"1/23/2022 21:27","Social Life","Badminton","Expense",2.4,"USD",NA,NA,2022-01-23
"1/21/2022 14:22","Food","Lunch with company","Expense",2.256,"USD",NA,NA,2022-01-21
"1/21/2022 11:47","Food","Snacks","Expense",0.444,"USD",NA,NA,2022-01-21
"1/19/2022 14:27","Food","Lunch + chocolate for preethi","Expense",2.052,"USD",NA,NA,2022-01-19
"1/18/2022 20:54","Food","Dinner","Expense",3.6138,"USD",NA,NA,2022-01-18
"1/18/2022 17:10","Food","Snack with preethi","Expense",0.708,"USD",NA,NA,2022-01-18
"1/18/2022 13:51","Food","Lunch with company","Expense",1.776,"USD",NA,NA,2022-01-18
"1/18/2022 12:59","Other","To kumara","Expense",2.4,"USD",NA,NA,2022-01-18
"1/17/2022 18:31","Food","Eve snack","Expense",1.2,"USD",NA,NA,2022-01-17
"1/15/2022 21:17","Transportation","Bus to Bangalore","Expense",16.38,"USD",NA,NA,2022-01-15
"1/15/2022 21:16","Food","Snacks","Expense",0.84,"USD",NA,NA,2022-01-15
"1/14/2022 16:54","Food","Lunch pongal","Expense",18.36,"USD",NA,NA,2022-01-14
"1/13/2022 20:46","Food","Dinner","Expense",0.792,"USD",NA,NA,2022-01-13
"1/13/2022 17:47","Transportation","Rapido to pg","Expense",0.516,"USD",NA,NA,2022-01-13
